,category,url,clicks
0,/Arts & Entertainment/TV & Video/TV Shows & Programs,https://www.cracked.com/article_35497_the-terrible-chevy-chase-community-stories-continue.html,122328
1,/Arts & Entertainment/Humor,https://www.cracked.com/article_35497_the-terrible-chevy-chase-community-stories-continue.html,122328
2,/Arts & Entertainment/Humor,https://www.cracked.com/article_35867_pete-davidson-melted-down-like-the-candles-he-tossed-all-over-his-trailer.html,114464
3,/Arts & Entertainment/Movies,https://www.cracked.com/article_35867_pete-davidson-melted-down-like-the-candles-he-tossed-all-over-his-trailer.html,114464
4,/Games/Computer & Video Games,https://www.cracked.com/article_35406_rockstar-gets-revenge-on-gta-6-leak-by-killing-gta-4-definitive-edition.html,104162
5,/Arts & Entertainment/Comics & Animation/Cartoons,https://www.cracked.com/image-pictofact-9129-13-retro-cartoons-that-hit-different-as-an-adult,69671
6,/Arts & Entertainment/TV & Video/TV Shows & Programs,https://www.cracked.com/image-pictofact-9129-13-retro-cartoons-that-hit-different-as-an-adult,69671
7,/Arts & Entertainment/TV & Video/TV Shows & Programs,https://www.cracked.com/article_36351_rick-and-morty-creator-dan-harmon-freaks-out-over-duplicated-hallmark-films.html,66395
8,/Arts & Entertainment/Humor,https://www.cracked.com/article_36351_rick-and-morty-creator-dan-harmon-freaks-out-over-duplicated-hallmark-films.html,66395
9,/Arts & Entertainment/Comics & Animation/Cartoons,https://www.cracked.com/article_36351_rick-and-morty-creator-dan-harmon-freaks-out-over-duplicated-hallmark-films.html,66395
